CampaignBudget,CustomersTargeted,CampaignCost,UnusedBudget,AnnualRevenueAtRisk,ExpectedRevenueProtected,ExpectedNetBenefit,ExpectedROI
1000,25,1000,0,35105.44293333333,7021.088586666667,6021.088586666667,6.021088586666667
2500,62,2480,20,83758.0908,16751.61816,14271.618160000004,5.754684741935486
5000,132,5000,0,168675.88136757576,32790.1993384697,27790.199338469698,5.55803986769394
10000,287,9980,20,327112.18553863,61039.44219641299,51059.44219641298,5.1161765727868715
15000,436,15000,0,430364.10630369437,79941.96847636363,64941.96847636363,4.329464565090909
20000,750,17680,2320,680463.836086709,91784.99423649325,74104.99423649325,4.191458950027899
